evolution$generation,evolution$evaluated,tpsAuChamp,qPrésenceBrousse,fréquenceRéu,participants,probaDiscu,probaDenonce,objective$om_trees,objective$om_stockMil,evolution$samples,qPrésenceBrousse,om_underTrees,tpsAuChamp,participants,fréquenceRéu,nombreBergers,probaDiscu,SRepreZ,om_nbCoupe,mySeed,nbChampsVisités,SPop,om_charette,om_stockMil,coordination,nbSurveillants,nbProTGMax,om_trees,om_ticks,engagésInitiaux,probaDenonce,RNA,nbCoupeurs,om_caughtCutter
100,373,43.78011903671744,0.6120891565315791,1.8603264767232472,8.550716647062979,57.313627853237946,78.91992816681508,-4434.0,-53187.21359999411,1,"[0.6120891565315791]","[89.39]","[43.78011903671744]","[8.550716647062979]","[1.8603264767232472]","[5.0]","[57.313627853237946]","[false]","[291.0]","[1244160962]","[5.0]","[true]","[31.0]","[53187.21359999411]","[false]","[8.0]","[35.0]","[4434]","[8396.0]","[40.0]","[78.91992816681508]","[true]","[10.0]","[269.0]"
100,373,73.41773467340235,0.8,3.982186586784871,5.0,62.09449176494129,72.30083507243094,-5159.0,-51997.06239999414,1,"[0.8]","[91.51]","[73.41773467340235]","[5.0]","[3.982186586784871]","[5.0]","[62.09449176494129]","[false]","[120.0]","[443498249]","[5.0]","[true]","[28.0]","[51997.06239999414]","[false]","[8.0]","[35.0]","[5159]","[8396.0]","[40.0]","[72.30083507243094]","[true]","[10.0]","[281.0]"
100,373,66.69836196706228,0.20717876007159275,2.9899220405516163,21.012947971962312,43.74453684464298,39.88263070330395,-724.5,-46765.58039999729,4,"[0.20717876007159275,0.20717876007159275,0.20717876007159275,0.20717876007159275]","[27.51,56.45,43.309999999999995,52.26]","[66.69836196706228,66.69836196706228,66.69836196706228,66.69836196706228]","[21.012947971962312,21.012947971962312,21.012947971962312,21.012947971962312]","[2.9899220405516163,2.9899220405516163,2.9899220405516163,2.9899220405516163]","[5.0,5.0,5.0,5.0]","[43.74453684464298,43.74453684464298,43.74453684464298,43.74453684464298]","[false,false,false,false]","[1989.0,1464.0,1579.0,1573.0]","[1946749574,948843554,1771387108,115531889]","[5.0,5.0,5.0,5.0]","[true,true,true,true]","[53.0,40.0,38.0,49.0]","[41877.396799998074,48526.51839999695,45826.70559999755,47704.455199997035]","[false,false,false,false]","[8.0,8.0,8.0,8.0]","[35.0,35.0,35.0,35.0]","[185,1057,549,900]","[8396.0,8396.0,8396.0,8396.0]","[40.0,40.0,40.0,40.0]","[39.88263070330395,39.88263070330395,39.88263070330395,39.88263070330395]","[true,true,true,true]","[10.0,10.0,10.0,10.0]","[193.0,211.0,217.0,235.0]"
100,373,31.188567311246466,0.4288184893314556,2.3312715683052234,29.654871071499645,74.39322569409181,42.65585909095107,-3785.5,-52888.23599999421,2,"[0.4288184893314556,0.4288184893314556]","[88.23,88.34]","[31.188567311246466,31.188567311246466]","[29.654871071499645,29.654871071499645]","[2.3312715683052234,2.3312715683052234]","[5.0,5.0]","[74.39322569409181,74.39322569409181]","[false,false]","[760.0,707.0]","[31173942,-1679382589]","[5.0,5.0]","[true,true]","[35.0,36.0]","[53126.6167999942,52649.85519999423]","[false,false]","[8.0,8.0]","[35.0,35.0]","[3647,3924]","[8396.0,8396.0]","[40.0,40.0]","[42.65585909095107,42.65585909095107]","[true,true]","[10.0,10.0]","[252.0,258.0]"
100,373,74.27873861404592,0.5798777466932469,4.397065197322642,7.95708649816257,56.91741507141478,63.35941641228071,-5132.0,-52165.581599994046,1,"[0.5798777466932469]","[91.47]","[74.27873861404592]","[7.95708649816257]","[4.397065197322642]","[5.0]","[56.91741507141478]","[false]","[194.0]","[7208975]","[5.0]","[true]","[24.0]","[52165.581599994046]","[false]","[8.0]","[35.0]","[5132]","[8396.0]","[40.0]","[63.35941641228071]","[true]","[10.0]","[282.0]"
100,373,75.2872700447447,0.32165954439789446,3.5588126561210993,22.10860503761348,76.82342422554123,61.73864798346143,-4656.0,-52933.057599994085,1,"[0.32165954439789446]","[90.22]","[75.2872700447447]","[22.10860503761348]","[3.5588126561210993]","[5.0]","[76.82342422554123]","[false]","[305.0]","[-1449163467]","[5.0]","[true]","[31.0]","[52933.057599994085]","[false]","[8.0]","[35.0]","[4656]","[8396.0]","[40.0]","[61.73864798346143]","[true]","[10.0]","[278.0]"
100,373,76.44653265389411,0.4111832423149606,4.039054957349818,23.45996470530647,77.9746108841961,37.93260942649159,-4531.0,-52253.22159999411,3,"[0.4111832423149606,0.4111832423149606,0.4111832423149606]","[90.52,89.71000000000001,90.75999999999999]","[76.44653265389411,76.44653265389411,76.44653265389411]","[23.45996470530647,23.45996470530647,23.45996470530647]","[4.039054957349818,4.039054957349818,4.039054957349818]","[5.0,5.0,5.0]","[77.9746108841961,77.9746108841961,77.9746108841961]","[false,false,false]","[448.0,532.0,483.0]","[1583399225,-1875212275,1613245348]","[5.0,5.0,5.0]","[true,true,true]","[44.0,39.0,29.0]","[52961.60319999394,51815.7727999943,52253.22159999411]","[false,false,false]","[8.0,8.0,8.0]","[35.0,35.0,35.0]","[4633,4518,4531]","[8396.0,8396.0,8396.0]","[40.0,40.0,40.0]","[37.93260942649159,37.93260942649159,37.93260942649159]","[true,true,true]","[10.0,10.0,10.0]","[267.0,265.0,271.0]"
100,373,71.98862059292958,0.7323093325268808,4.149546677330113,18.87037636212463,71.70231324849237,72.29021823762398,-5112.0,-52860.31639999402,2,"[0.7323093325268808,0.7323093325268808]","[92.49000000000001,91.47]","[71.98862059292958,71.98862059292958]","[18.87037636212463,18.87037636212463]","[4.149546677330113,4.149546677330113]","[5.0,5.0]","[71.70231324849237,71.70231324849237]","[false,false]","[156.0,137.0]","[1599695798,531023578]","[5.0,5.0]","[true,true]","[39.0,37.0]","[53237.29359999392,52483.33919999412]","[false,false]","[8.0,8.0]","[35.0,35.0]","[5059,5165]","[8396.0,8396.0]","[40.0,40.0]","[72.29021823762398,72.29021823762398]","[true,true]","[10.0,10.0]","[277.0,278.0]"
